,vmid,subscriptionid,deploymentid,vmcreated,vmdeleted,maxcpu,avgcpu,p95maxcpu,vmcategory,vmcorecountbucket,vmmemorybucket,lifetime,corehour,target,delmaxavg,delmaxp95,delp95avg,kmeans,gm,p95avgcpuslope
69,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,9j4lLAdcydRsC+LhAQG/IS6Q15Z+tw3IYiCwH6QuxxtuQ1BRDS25tEVbc0PJl9YG,amCh31pwRrNqxYhYZMQ9kTaBv6Nsj9KELkMwZXIujmvpbmqlHCAfkpD7WFPDtaVpqPnfHuVAq9cfT+mToVrEww==,0,2591400,96.7157047912505,0.93893338134443,0.8636219317677654,Delay-insensitive,2,2,719.8333333333334,1439.6666666666667,1,95.77677140990608,95.85208285948272,-0.0753114495766646,0,1,0.9197904227573329
83,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,NM+rYlOuvfObftjnvrHy7hUorr5ulWm8UgTM9A1SZniRTv4rWR02jsqwzTWYGnM1,tGInpwc5Wi0Tq15xunBKLtsbC6Bxk5LP2e+NIsoDe/D3jg/HUmFKSYfcy6Re2AnRKmmJLY0FHwg+tQPoB8gEmQ==,0,2589000,98.22656828164683,2.4100545454639617,2.2976777018350725,Delay-insensitive,2,8,719.1666666666666,1438.3333333333333,1,95.81651373618288,95.92889057981178,-0.1123768436288892,0,2,0.9533716596413151
85,mY+fWVBQe0tTfdVMO/2Ea9AAjDyN2ndi/40U59iUNxiTRuLmnxzHmFevxn9Orh9a,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,28800,2591400,97.19427733754613,2.0764769866339376,1.938041598078185,Delay-insensitive,4,32,711.8333333333334,2847.333333333333,1,95.11780035091218,95.25623573946793,-0.1384353885557525,0,1,0.9333316047098781
100,N0gBVBQviQ4n/jyolzXWac39GOcL3596Re7d2N7RpmffGFx5smmLtuuiOL4K2FhH,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,28500,2591400,98.83852166505234,2.479152345580657,2.367729842025025,Delay-insensitive,4,32,711.9166666666666,2847.6666666666665,1,96.35936931947168,96.47079182302733,-0.1114225035556319,0,1,0.9550562095329663
155,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,HzLK24LbYXd1kU9jw99gYFREpnAkKefq7MKwAxhEwzct60AO15YgI+NCeDgjKuF2,wggQWvknTcqrfDqxcQGGT40iu8/aEgjBj5i6e3bu9qtUc8oTlZQj2M5ZqYJyA46v3tCUthcKcn1FdZdTBxNGyw==,0,2591400,99.27874493198964,0.8950931731170689,0.7168977747029096,Delay-insensitive,2,2,719.8333333333334,1439.6666666666667,1,98.38365175887256,98.56184715728672,-0.1781953984141593,0,1,0.8009197212468816
183,HD22nCSvfLXG4Q3EFmcLoITCtHA3wgONq8RjxfSmQiQ+87s4emnUOzEyOICvcbTd,NM+rYlOuvfObftjnvrHy7hUorr5ulWm8UgTM9A1SZniRTv4rWR02jsqwzTWYGnM1,tGInpwc5Wi0Tq15xunBKLtsbC6Bxk5LP2e+NIsoDe/D3jg/HUmFKSYfcy6Re2AnRKmmJLY0FHwg+tQPoB8gEmQ==,0,2590800,97.9389215669222,2.916117965245679,2.851640782769802,Delay-insensitive,2,8,719.6666666666666,1439.3333333333333,1,95.02280360167651,95.0872807841524,-0.0644771824758767,0,2,0.9778893778494847
205,gesjL49nFh9+u4fqJzmjpEYZIK7EqBySylYByqGy2JTisTNmjQJSxJ9WeMqEptxT,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,65400,2591400,96.87875371209324,2.09277180752516,2.02510837933955,Delay-insensitive,4,32,701.6666666666666,2806.6666666666665,1,94.78598190456808,94.85364533275369,-0.0676634281856101,0,1,0.9676680333984303
230,Ch2tshNe8XUZZEbV8/JCOJLI7AbSaZtEJ3A+f6UnX/Yf3Rv+TOlv0S46vdkj3eJQ,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3C0RDcl+iWmWhT3Fk+kQMvWQ==,65400,2591400,98.5477094541942,2.993244331846812,2.4655520011874223,Delay-insensitive,4,32,701.6666666666666,2806.6666666666665,1,95.5544651223474,96.0821574530068,-0.5276923306593897,0,1,0.8237055608708672
245,GF6t1yYrx3ZHNBKP0d8t34RF5FhjRte7ojtULelKhVt03MIvHPwTE/SHflZ9D1v/,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,85500,2591400,96.90197214233304,1.5217701191567825,1.4750115271776776,Delay-insensitive,4,32,696.0833333333334,2784.333333333333,1,95.38020202317624,95.42696061515537,-0.0467585919791049,0,1,0.9692735509848136
258,PNj1J6v0YJ7TQ992Tyl3yCLsvh8sGpq7TJumZV8e+KUEUnigCr2w5Ywat/CYk5Ve,8mYUop47Ih3Ka0m8+fxnNmM1rUjlJ9vDkclgoBJViVmWPrp87Onz17+k6QKBLf89,fIRf+CYG8jmlnysPUgzCuo7L/D1tV9jirr4FaJCQtaI7/nusiVYr9XIWgq6AIV3CnOr5me+lMYKVQ7v5tDnIww==,84900,2591400,98.4390777310016,2.230020140908745,1.7912533324892348,Delay-insensitive,4,32,696.25,2785.0,1,96.20905759009284,96.64782439851236,-0.43876680841951,0,1,0.8032453607164686
