,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
0,0,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3481939488232034,0.4067945466934593,0.3686815623029011
8,300,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3350247944814681,0.4051868506989785,0.3708326673186243
16,600,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3393823596028846,0.4021432540562683,0.3703687971907231
24,900,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3245058310629779,0.3855162764714761,0.3549419326755242
32,1200,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3376949457712455,0.3932945053685024,0.3720678356626653
39,1500,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3429479218392156,0.3846276696924843,0.3614304503840893
47,1800,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3372465883451152,0.3832705415892763,0.3638482705514991
56,2100,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3557361641886653,0.4073832730877268,0.3778822491729923
64,2400,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3434301118025054,0.4061265249660014,0.3646790615493138
72,2700,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3517415601547765,0.3876514603390942,0.3696204269097308
79,3000,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3406066700827311,99.16513188810124,36.30432011731715
86,3300,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.411495263299182,99.1812212312909,17.925093079431846
93,3600,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3506120715566702,1.4370651219275192,0.485772124388899
100,3900,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3574195436222553,1.263487649406421,0.4680662981312333
107,4200,yujS7dubWw+34q8X25Bo1HAM+oYDpmX6msJ3S3cVc2qgltIwFkBkD9WzRg3ymN3h,0.3466499524558391,0.4093855089763064,0.3765913666688833
