,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
4,0,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.8129138690626165,0.8522199514160705,0.8317350873419473
12,300,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.7574978981366244,0.8331805764309062,0.8116062672703607
20,600,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.7967428073201613,0.8623605558795504,0.8320257350752167
28,900,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.7979237434284145,0.8455704076940735,0.831574546363734
35,1200,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.8036952648988366,0.8586501545570276,0.8369297908991564
42,1500,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.795956699205092,0.845225612467043,0.8289694130594214
50,1800,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.8149793793579638,0.8534984332434623,0.8312309862088622
58,2100,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.7977528311889509,0.8505985126214552,0.833374204401552
66,2400,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.8034994001072712,0.858320843683984,0.8356366265280532
74,2700,trjCc/lisNnKRnpFtPMmULgw1gUoiymSCshiGZfLY/Oil48nMJ4gWaraMMzqfJVq,0.7929910501380212,0.862309833777764,0.8273608023943737
