,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
7,0,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1713726476839432,0.2606436691064934,0.2058396615109769
15,300,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1800944623546513,0.2576882910891445,0.2108085353002721
23,600,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1808869314441456,0.2526767977908552,0.2062032437777596
31,900,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1861560666169359,0.2557070163169879,0.2068975568077836
38,1200,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1828753863251817,0.2654969821355659,0.2190910712085669
46,1500,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1623827704063959,0.2690719283307915,0.2006123631889775
55,1800,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1873081417098216,0.2299466005830705,0.208193979039173
63,2100,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1633738352858311,0.257580399988839,0.1992974342088511
71,2400,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1802893753094918,0.2777388727161094,0.2135574629623396
78,2700,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1860087265315638,0.2331402956715247,0.2074715094686189
85,3000,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1713342253286281,0.2887991389979532,0.2057088108342495
92,3300,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1613669790021467,0.2610057195319605,0.2063730588479344
99,3600,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1715265448896025,0.2220153247479015,0.1962106080726162
106,3900,4Cka/a5H763ZPaDuuNo6MhnfKQ56hvTrTxPgWmcJyh2ItBDTS2NnqAFcmWtpkMPu,0.1751653813043874,0.2529970060320179,0.2114011586631772
