,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
52,1800,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.4227894099932517,2.4922941182158667,1.8985082116125167
60,2100,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.5635540626112985,2.3915999896265223,1.942687921014892
68,2400,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.4521745226846767,2.2429672905217446,1.894331784269292
76,2700,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.5987918324621715,2.379891560864765,1.9428690527432253
83,3000,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.4063571427709542,2.3042378882397765,1.905508499977018
90,3300,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.9775832837506595,39.75086150854367,10.736404891609832
97,3600,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,0.4709310584325842,19.656515787247304,3.768690753196733
158,6000,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,2.120653891738444,52.49887100920818,17.28952302893793
166,6300,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,2.004181848613664,5.325109104471892,3.317638728190869
256,10200,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.6356048031590718,12.573928354618683,3.615350059609828
265,10500,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.651471823791414,4.563367390960214,2.3296417638747533
274,10800,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.4236711539691544,32.995850658036154,6.743006868676767
282,11100,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.3244181314134806,2.30202046433948,1.8272668669330308
290,11400,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.8216610284222936,52.43918487941921,16.051961587392604
462,18000,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,2.7155695364134447,95.11088690053744,29.231213994495068
472,18300,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.7791763925783508,74.44338086139335,11.000211235170706
482,18600,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,2.1857589680016662,31.76450973293474,12.647370575178012
492,18900,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,0.1532657112352096,3.197663829739245,0.8457226850211303
584,22200,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,2.156845801598363,38.73427347144949,11.081001769545573
593,22500,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.6727283031948827,2.523505625550031,2.0779370480084745
679,25800,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,2.109464992011195,37.74780512913127,20.34998697438067
689,26100,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,0.1997889447388278,19.69075808043816,3.976388197044983
823,30000,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.6670200555380728,2.7588661943810213,2.1398144443433926
836,30300,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.6920678547872618,2.446323151118241,2.04806387055391
849,30600,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.5781801876717034,33.533805380306426,6.698150158012718
862,30900,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.5758622087431533,2.3417453622816127,1.8823592413220864
875,31200,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.813432816020321,39.12591279118627,11.558916390380851
888,31500,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.6688351841193665,3.2792070663215886,2.398836569459551
971,33600,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.9468870499071247,2.2198798733859584,2.069847269321964
983,33900,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.7562195523165358,2.3398325745688733,2.065162390859037
996,34200,jMde6NdGW37KkolR9nCcMkFpEnYh4rVTDXAgiK3DGkzJzz4h9Kgv697djUeGTBXi,1.7000492535297824,38.373628205921456,6.80524923426398
