,timestamp,vm_id,min_cpu,max_cpu,avg_cpu
3,0,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.1255663988686395,1.5244866719718586,1.3181806604006463
11,300,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.005631783882191,1.6787178381048775,1.3294140699307104
19,600,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.127754636552841,28.5846929563907,10.467934187855588
27,900,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.2532319408457364,1.6047287989746164,1.4167212345471094
110,4200,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.3280923594210787,1.6192760349806583,1.4601546566314203
118,4500,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.1149130383423371,35.76976332668481,5.8483747783589335
126,4800,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.102687787734184,1.607410926476641,1.359047346608514
134,5100,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.0991244585731796,40.66647526702976,14.008954769336748
142,5400,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.1900329082727,1.7708308001858846,1.503542634083195
210,8400,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.2244490220170563,1.3057723926091256,1.2752259817898408
217,8700,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,0.9661346371234864,1.5800660286343795,1.2794549379781328
224,9000,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.0628905743086887,1.6201338852464522,1.33717839388695
231,9300,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.0445686759201032,1.5653923702664114,1.3078872202940843
238,9600,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.0363852456139806,1.6222739761172429,1.3221121848639072
245,9900,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.0327302990229312,1.7126931542591646,1.3562895600198437
253,10200,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.067172363055504,1.4592602330331876,1.2947257508756582
262,10500,RVfel1jVo2UTjdHeqMgqJcVcfBUG/V9mV6Un47p8vGHiFjsPkGO/fpCHIpfTLwqa,1.1366318046098094,1.6543585487595174,1.3280473102037833
